country,Infant_Mortality_rate,Life_expectancy_at_birth,Birth_Rate,Death_Rate
Serbia,5.5999999999999996,76.299999999999997,8.8000000000000007,13.5
Seychelles,9.3000000000000007,75.599999999999994,12.800000000000001,7.0999999999999996
Sierra-Leone,63.600000000000001,59.799999999999997,35.399999999999999,9.8000000000000007
Singapore,2.2999999999999998,86,8.9000000000000004,3.6000000000000001
Sint-Maarten,7.5,78.799999999999997,12.9,5.7999999999999998
Slovakia,4.9000000000000004,77.799999999999997,9.3000000000000007,10.1
Slovenia,1.7,81.400000000000006,8.6999999999999993,10.300000000000001
Solomon-Islands,13.4,76.200000000000003,23.600000000000001,3.7999999999999998
Somalia,89.5,54,38.700000000000003,12.4
South-Africa,27.800000000000001,64.799999999999997,19.199999999999999,9.3000000000000007
South-Sudan,69.900000000000006,55.5,38.799999999999997,11.4
Spain,3.2000000000000002,82,8.6999999999999993,9.3000000000000007
Sri-Lanka,7.7999999999999998,77.5,14.199999999999999,6.5
Sudan,41.799999999999997,66.5,33.799999999999997,6.5
Suriname,22.100000000000001,73.299999999999997,14.9,6.2000000000000002
Sweden,2.6000000000000001,82.400000000000006,12.1,9.4000000000000004
Switzerland,3.5,82.799999999999997,10.5,8.5
Syria,16.5,73.700000000000003,23.800000000000001,4.5
Taiwan,4.2000000000000002,80.599999999999994,8,7.9000000000000004
Tajikistan,28.800000000000001,69,21.800000000000001,5.7999999999999998
Tanzania,36.399999999999999,63.899999999999999,34.600000000000001,7.0999999999999996
Thailand,8.5999999999999996,75.599999999999994,10.699999999999999,8.3000000000000007
Timor-Leste,31.699999999999999,69.299999999999997,32,5.7000000000000002
Togo,38.5,66.599999999999994,32,6.5
Tonga,10.300000000000001,77,21,4.9000000000000004
Trinidad-and-Tobago,20.100000000000001,73.900000000000006,11.4,9.0999999999999996
Tunisia,11,76.299999999999997,15.9,6.4000000000000004
Turkey,15.800000000000001,75.700000000000003,14.800000000000001,6.0999999999999996
Turkmenistan,30.800000000000001,71.299999999999997,18.300000000000001,6.0999999999999996
Turks-and-Caicos-Islands,9.3000000000000007,80.299999999999997,14.1,3.3999999999999999
Tuvalu,26.600000000000001,67.900000000000006,23.399999999999999,8.1999999999999993
Uganda,32.600000000000001,68.200000000000003,42.299999999999997,5.2999999999999998
Ukraine,7.4000000000000004,72.900000000000006,9.5999999999999996,14
United-Arab-Emirates,5.2999999999999998,79,9.5,2
United-Kingdom,4.0999999999999996,81.099999999999994,11.9,9.5
United-States,5.2999999999999998,80.299999999999997,12.4,8.3000000000000007
Uruguay,7.7999999999999998,77.900000000000006,12.9,9.3000000000000007
Uzbekistan,16.300000000000001,74.799999999999997,16.100000000000001,5.4000000000000004
Vanuatu,12.699999999999999,74.599999999999994,22.399999999999999,4
Venezuela,27.899999999999999,71,17.899999999999999,7.5
Vietnam,15.699999999999999,74.400000000000006,14.5,6
Virgin-Islands,7.4000000000000004,79.799999999999997,12.1,8.5
Wallis-and-Futuna,4.2000000000000002,80.200000000000003,12.699999999999999,5.7000000000000002
West-Bank,12.800000000000001,75.900000000000006,25.199999999999999,3.3999999999999999
Yemen,41.899999999999999,66.900000000000006,25.800000000000001,5.5999999999999996
Zambia,56,53.600000000000001,40.399999999999999,11.6
Zimbabwe,30.300000000000001,62.299999999999997,33.600000000000001,9.3000000000000007
